actor,movie,new_actor
Jeet Goswami,Golden Boys,Yes
Karan Bhanushali,Kaccha Limboo,Yes
Mahie Gill,Not A Love Story,No
Aadar Jain,Qaidi Band,Yes
Aadil Khan,Chaatwali,Yes
Aakar Kaushik,Shuttlecock Boys,Yes
Aakash,Dirty Marriage,Yes
Aamir Bashir,Future To Bright Hai Ji,No
Aamir Khan,Ghajini,No
Aamir Khan,Taare Zameen Par,No
Aamir Khan,Mangal Pandey - The Rising,No
Aamir Khan,Fanaa,No
Aamir Khan,Dangal,No
Aamir Khan,3 Idiots,No
Aamir Khan,PK,No
Aamir Khan,Rang De Basanti,No
Aamir Khan,Talaash,No
Aamir Khan,Dhoom 3,No
Aanamika Bawa,Pyaar Mein Aisa Hota Hai,Yes
Aarun Nagar,Gurjar Aandolan - A Fight For Right,Yes
Aaryan,Yehi Hai High Society,No
Aasad Mirza,Say Yes To Love,Yes
Aashish Chanana,Dreams - Sapnay Sach Honge...,Yes
Aashish Chaudhary,Three - Love Lies Betrayal,No
Aasif Albela,Malegaon Me Gadbad Ghotala,Yes
Aatri Kumar,Khota Sikka - Jaat Ke Thaath,Yes
Abhay Bakshi,Hi Fi Log,Yes
Abhay Deol,Dev D,No
Abhay Deol,One By Two,No
Abhay Deol,Oye Lucky! Lucky Oye!,No
Abhay Deol,Socha Na Tha,Yes
Abhay Deol,Happy Bhaag Jayegi,No
Abhay Deol,Manorama Six Feet Under,No
Abhay Deol,Honeymoon Travels Pvt. Ltd.,No
Abhay Deol,Ek Chalis Ki Last Local,No
Abhay Deol,Ahista Ahista,No
Abhijeet Sawant,Lottery,Yes
Abhinav Shukla,Roar - Tigers Of The Sundarbans,Yes
Abhishek Anand,Chakradhaar,Yes
Abhishek Bachchan,Players,No
Abhishek Bachchan,Game,No
Abhishek Bachchan,Khelein Hum Jee Jaan Sey,No
Abhishek Bachchan,Drona,No
Abhishek Bachchan,Guru,No
Abhishek Bachchan,Raavan,No
Abhishek Bachchan,Delhi 6,No
Abhishek Bachchan,Bluffmaster,No
Abhishek Bachchan,Dum Maaro Dum,No
Abhishek Bachchan,Bunty Aur Babli,No
Abhishek Bachchan,Jhoom Barabar Jhoom,No
Abhishek Bachchan,Dostana,No
Abhishek Bachchan,All Is Well,No
Abhishek Gupta,Apne Ghayal Indian,Yes
Abhishek Sharma,Naya Pata,No
Abhishek Urade,A Journey Of Samyak Buddha,Yes
Adah Sharma,Hum Hai Raahi Car Ke,No
Adam Bedi,Strings - Bound By Faith,Yes
Adhvik Mahajan,Contract,Yes
Adhyayan Suman,Haal - E - Dil,Yes
Adhyayan Suman,Dehraadun Diary,No
Adhyayan Suman,Jashnn,No
Adhyayan Suman,Heartless,No
Adil Hussain,Zed Plus,No
Adil Hussain,For Real,Yes
Adil Hussain,Lessons In Forgetting,No
Aditi Inamdar,Poorna,Yes
Aditi Sharma,Khanna & Iyer,Yes
Aditya Narayan,Shaapit,Yes
Aditya Om,Bandook,No
Aditya Roy Kapoor,Fitoor,No
Aditya Roy Kapoor,Daawat E Ishq,No
Aditya Roy Kapoor,Aashiqui 2,No
Aditya Roy Kapoor,Ok Jaanu,No
Aditya Samanta,Yeh Jo Mohabbat Hai,Yes
Aditya Shrivastava,Dil Se Poochh... Kidhar Jaana Hai,No
Affi Khan,Ek Aur Murder,Yes
Afsar Khan,Feel - The Touch,No
Aftab Shivdasani,1920 - Evil Returns,No
Aftab Shivdasani,Bin Bulaye Baraati,No
Aftab Shivdasani,Jaane Hoga Kya,No
