director,movie,new_director
Ravi Varma,Golden Boys,No
Sagar Ballary,Kaccha Limboo,No
Ram Gopal Verma,Not A Love Story,No
Habib Faisal,Qaidi Band,No
Aadil Khan,Chaatwali,Yes
Hemant Gaba,Shuttlecock Boys,Yes
Priyanka,Dirty Marriage,No
Sanjay Amar,Future To Bright Hai Ji,Yes
A.R. Murugadoss,Ghajini,Yes
Aamir Khan,Taare Zameen Par,Yes
Ketan Mehta,Mangal Pandey - The Rising,No
Kunal Kohli,Fanaa,No
Nitish Tiwari,Dangal,No
Rajkumar Hirani,3 Idiots,No
Rajkumar Hirani,PK,No
Rakesh Omprakash Mehra,Rang De Basanti,No
Reema Kagti,Talaash,No
Vijay Krishna Acharya,Dhoom 3,No
Rajesh Kumar,Pyaar Mein Aisa Hota Hai,Yes
Aarun Nagar,Gurjar Aandolan - A Fight For Right,Yes
Ravi Sinha,Yehi Hai High Society,No
Mahrukh Mirza,Say Yes To Love,No
Aashish Chanana,Dreams - Sapnay Sach Honge...,Yes
Vishal Pandya,Three - Love Lies Betrayal,Yes
Anwar Shaikh,Malegaon Me Gadbad Ghotala,Yes
Ram Pratap Singh,Khota Sikka - Jaat Ke Thaath,Yes
Baba Jagirdar,Hi Fi Log,Yes
Anurag Kashyap,Dev D,No
Devika Bhagat,One By Two,Yes
Dibakar Banerjee,Oye Lucky! Lucky Oye!,No
Imtiaz Ali,Socha Na Tha,Yes
Mudassar Aziz,Happy Bhaag Jayegi,No
Navdeep Singh,Manorama Six Feet Under,Yes
Reema Kagti,Honeymoon Travels Pvt. Ltd.,Yes
Sanjay Khanduri,Ek Chalis Ki Last Local,Yes
Shivam Nair,Ahista Ahista,Yes
Hemant Prabhu,Lottery,Yes
Kamal Sadanah,Roar - Tigers Of The Sundarbans,Yes
Dharam Prakash,Chakradhaar,Yes
Abbas - Mustan,Players,No
Abhinay Deo,Game,Yes
Ashutosh Gowariker,Khelein Hum Jee Jaan Sey,No
Goldie Behl,Drona,No
Mani Ratnam,Guru,No
Mani Ratnam,Raavan,No
Rakesh Omprakash Mehra,Delhi 6,No
Rohan Sippy,Bluffmaster,No
Rohan Sippy,Dum Maaro Dum,No
Shaad Ali,Bunty Aur Babli,No
Shaad Ali,Jhoom Barabar Jhoom,No
Tarun Mansukhani,Dostana,Yes
Umesh Shukla,All Is Well,No
Rajesh Dubey,Apne Ghayal Indian,Yes
