name,release_period,remake,franchise,genre,screens,revenue,budget
Golden Boys,Normal,No,No,suspense,5,5000000,85000
Kaccha Limboo,Holiday,No,No,drama,75,15000000,825000
Not A Love Story,Holiday,No,No,thriller,525,75000000,56700000
Qaidi Band,Holiday,No,No,drama,800,210000000,4500000
Chaatwali,Holiday,No,No,adult,1,1000000,1075000
Shuttlecock Boys,Normal,No,No,comedy,10,5000000,170000
Dirty Marriage,Holiday,No,No,adult,2,1500000,35000
Future To Bright Hai Ji,Holiday,No,No,drama,30,15000000,825000
Ghajini,Holiday,Yes,No,action,1550,520000000,1945820000
Taare Zameen Par,Holiday,No,No,drama,500,180000000,875785000
Mangal Pandey - The Rising,Holiday,No,No,drama,675,370000000,525785000
Fanaa,Normal,No,No,love_story,650,300000000,1054800000
Dangal,Holiday,No,No,drama,4250,1320000000,7024750000
3 Idiots,Holiday,No,No,drama,1750,770000000,3491035000
PK,Normal,No,No,drama,3600,1220000000,6160362500
Rang De Basanti,Holiday,No,No,drama,600,280000000,979080000
Talaash,Normal,No,No,thriller,2550,710000000,1729717500
Dhoom 3,Normal,No,Yes,action,3650,1750000000,5243760000
Pyaar Mein Aisa Hota Hai,Holiday,No,No,thriller,5,5500000,350000
Gurjar Aandolan - A Fight For Right,Normal,No,No,drama,5,6500000,575000
Yehi Hai High Society,Holiday,No,No,thriller,20,6500000,4000000
Say Yes To Love,Normal,No,No,love_story,30,17500000,525000
Dreams - Sapnay Sach Honge...,Holiday,No,No,love_story,25,12500000,1375000
Three - Love Lies Betrayal,Normal,No,No,thriller,325,40000000,10000000
Malegaon Me Gadbad Ghotala,Normal,No,No,comedy,5,1000000,300000
Khota Sikka - Jaat Ke Thaath,Normal,No,No,comedy,50,9000000,600000
Hi Fi Log,Holiday,No,No,adult,2,1500000,500000
Dev D,Holiday,No,No,drama,525,110000000,208200000
One By Two,Normal,No,No,rom__com,500,210000000,37700000
Oye Lucky! Lucky Oye!,Normal,No,No,comedy,400,120000000,100620000
Socha Na Tha,Holiday,No,No,rom__com,110,50000000,52800000
Happy Bhaag Jayegi,Normal,No,No,rom__com,1000,200000000,391500000
Manorama Six Feet Under,Normal,No,No,suspense,75,32500000,5800000
Honeymoon Travels Pvt. Ltd.,Normal,No,No,rom__com,350,100000000,195160000
Ek Chalis Ki Last Local,Normal,No,No,comedy,140,35000000,25000000
Ahista Ahista,Holiday,No,No,love_story,200,40000000,23100000
Lottery,Holiday,No,No,drama,40,17500000,425000
Roar - Tigers Of The Sundarbans,Normal,No,No,thriller,1250,250000000,134612500
Chakradhaar,Normal,No,No,action,250,45000000,6300000
Players,Normal,Yes,No,action,1900,550000000,485600000
Game,Holiday,Yes,No,thriller,1100,340000000,128792500
Khelein Hum Jee Jaan Sey,Normal,No,No,drama,750,390000000,76653750
Drona,Holiday,No,No,action,750,430000000,180660000
Guru,Holiday,No,No,drama,650,220000000,836710000
Raavan,Normal,Yes,No,action,1350,550000000,495722500
Delhi 6,Holiday,No,No,drama,1100,480000000,521750000
Bluffmaster,Normal,No,No,thriller,350,100000000,327100000
Dum Maaro Dum,Holiday,No,No,thriller,1350,310000000,511940000
Bunty Aur Babli,Normal,No,No,comedy,475,125000000,637405000
Jhoom Barabar Jhoom,Normal,No,No,rom__com,950,270000000,485250000
