Movie Name,Release Period,Whether Remake,Whether Franchise,Genre,New Actor,New Director,New Music Director,Lead Star,Director,Music Director,Number of Screens,Revenue(INR),Budget(INR)
Golden Boys,Normal,No,No,suspense,Yes,No,No,Jeet Goswami,Ravi Varma,Baba Jagirdar,5,5000000,85000
Kaccha Limboo,Holiday,No,No,drama,Yes,No,Yes,Karan Bhanushali,Sagar Ballary,Amardeep Nijjer,75,15000000,825000
Not A Love Story,Holiday,No,No,thriller,No,No,No,Mahie Gill,Ram Gopal Verma,Sandeep Chowta,525,75000000,56700000
Qaidi Band,Holiday,No,No,drama,Yes,No,No,Aadar Jain,Habib Faisal,Amit Trivedi,800,210000000,4500000
Chaatwali,Holiday,No,No,adult,Yes,Yes,Yes,Aadil Khan,Aadil Khan,Babloo Ustad,1,1000000,1075000
Shuttlecock Boys,Normal,No,No,comedy,Yes,Yes,Yes,Aakar Kaushik,Hemant Gaba,Avinash Baghel,10,5000000,170000
Dirty Marriage,Holiday,No,No,adult,Yes,No,Yes,Aakash,Priyanka,Dharma,2,1500000,35000
Future To Bright Hai Ji,Holiday,No,No,drama,No,Yes,Yes,Aamir Bashir,Sanjay Amar,Amir Ali,30,15000000,825000
Ghajini,Holiday,Yes,No,action,No,Yes,No,Aamir Khan,A.R. Murugadoss,A.R. Rehman,1550,520000000,1945820000
Taare Zameen Par,Holiday,No,No,drama,No,Yes,No,Aamir Khan,Aamir Khan,Shankar - Ehsaan - Loy,500,180000000,875785000
Mangal Pandey - The Rising,Holiday,No,No,drama,No,No,No,Aamir Khan,Ketan Mehta,A.R. Rehman,675,370000000,525785000
Fanaa,Normal,No,No,love_story,No,No,No,Aamir Khan,Kunal Kohli,Jatin - Lalit,650,300000000,1054800000
Dangal,Holiday,No,No,drama,No,No,No,Aamir Khan,Nitish Tiwari,Pritam,4250,1320000000,7024750000
3 Idiots,Holiday,No,No,drama,No,No,No,Aamir Khan,Rajkumar Hirani,Shantanu Moitra,1750,770000000,3491035000
PK,Normal,No,No,drama,No,No,No,Aamir Khan,Rajkumar Hirani,Ajay - Atul,3600,1220000000,6160362500
Rang De Basanti,Holiday,No,No,drama,No,No,No,Aamir Khan,Rakesh Omprakash Mehra,A.R. Rehman,600,280000000,979080000
Talaash,Normal,No,No,thriller,No,No,No,Aamir Khan,Reema Kagti,Ram Sampath,2550,710000000,1729717500
Dhoom 3,Normal,No,Yes,action,No,No,No,Aamir Khan,Vijay Krishna Acharya,Pritam,3650,1750000000,5243760000
Pyaar Mein Aisa Hota Hai,Holiday,No,No,thriller,Yes,Yes,Yes,Aanamika Bawa,Rajesh Kumar,Shabab Azmi,5,5500000,350000
Gurjar Aandolan - A Fight For Right,Normal,No,No,drama,Yes,Yes,Yes,Aarun Nagar,Aarun Nagar,Ashish Donald,5,6500000,575000
Yehi Hai High Society,Holiday,No,No,thriller,No,No,No,Aaryan,Ravi Sinha,S. Paul,20,6500000,4000000
Say Yes To Love,Normal,No,No,love_story,Yes,No,No,Aasad Mirza,Mahrukh Mirza,Jatin Pandit,30,17500000,525000
Dreams - Sapnay Sach Honge...,Holiday,No,No,love_story,Yes,Yes,No,Aashish Chanana,Aashish Chanana,Sajid - Wajid,25,12500000,1375000
Three - Love Lies Betrayal,Normal,No,No,thriller,No,Yes,No,Aashish Chaudhary,Vishal Pandya,Chirantan Bhatt,325,40000000,10000000
Malegaon Me Gadbad Ghotala,Normal,No,No,comedy,Yes,Yes,No,Aasif Albela,Anwar Shaikh,Sahil Patil,5,1000000,300000
Khota Sikka - Jaat Ke Thaath,Normal,No,No,comedy,Yes,Yes,Yes,Aatri Kumar,Ram Pratap Singh,Udbhav,50,9000000,600000
